Time,wx,wy,wz,qx,qy,qz,q0,x,y,z,vx,vy,vz
0.073,0.000739823,0.000493687,0.019319,1.35042e-05,9.00524e-06,0.00023414,1,6.871e+06,563.523,0,-0.637233,7615.18,0
0.074,0.000749814,0.000500373,0.0198431,1.38741e-05,9.25204e-06,0.0002438,1,6.871e+06,571.138,0,-0.645844,7615.18,0
0.075,0.000759803,0.00050706,0.0203743,1.4249e-05,9.50218e-06,0.000253721,1,6.871e+06,578.754,0,-0.654456,7615.18,0
0.076,0.000769793,0.000513747,0.0209125,1.4629e-05,9.75566e-06,0.000263909,1,6.871e+06,586.369,0,-0.663067,7615.18,0
0.077,0.000779782,0.000520436,0.0214577,1.50139e-05,1.00125e-05,0.000274365,1,6.871e+06,593.984,0,-0.671678,7615.18,0
0.078,0.000789771,0.000527125,0.0220099,1.54038e-05,1.02726e-05,0.000285094,1,6.871e+06,601.599,0,-0.680289,7615.18,0
0.079,0.000799759,0.000533816,0.0225691,1.57987e-05,1.05362e-05,0.000296099,1,6.871e+06,609.214,0,-0.688901,7615.18,0
0.08,0.000809746,0.000540507,0.0231354,1.61987e-05,1.0803e-05,0.000307383,1,6.871e+06,616.829,0,-0.697512,7615.18,0
0.081,0.000819734,0.000547199,0.0237086,1.66036e-05,1.10732e-05,0.000318951,1,6.871e+06,624.445,0,-0.706123,7615.18,0
0.082,0.00082972,0.000553892,0.0242889,1.70135e-05,1.13467e-05,0.000330805,1,6.871e+06,632.06,0,-0.714735,7615.18,0
0.083,0.000839707,0.000560586,0.0248762,1.74284e-05,1.16236e-05,0.00034295,1,6.871e+06,639.675,0,-0.723346,7615.18,0
0.084,0.000849693,0.000567281,0.0254705,1.78483e-05,1.19038e-05,0.000355388,1,6.871e+06,647.29,0,-0.731957,7615.18,0
0.085,0.000859678,0.000573977,0.0260718,1.82732e-05,1.21874e-05,0.000368123,1,6.871e+06,654.905,0,-0.740568,7615.18,0
0.086,0.000869663,0.000580674,0.0266802,1.87031e-05,1.24743e-05,0.000381159,1,6.871e+06,662.52,0,-0.74918,7615.18,0
0.087,0.000879647,0.000587372,0.0272955,1.9138e-05,1.27645e-05,0.000394499,1,6.871e+06,670.136,0,-0.757791,7615.18,0
0.088,0.000889631,0.000594071,0.0279179,1.95779e-05,1.30581e-05,0.000408147,1,6.871e+06,677.751,0,-0.766402,7615.18,0
0.089,0.000899614,0.000600772,0.0285473,2.00227e-05,1.33551e-05,0.000422106,1,6.871e+06,685.366,0,-0.775013,7615.18,0
0.09,0.000909596,0.000607473,0.0291837,2.04726e-05,1.36554e-05,0.000436379,1,6.871e+06,692.981,0,-0.783625,7615.18,0
0.091,0.000919578,0.000614176,0.0298271,2.09275e-05,1.3959e-05,0.000450971,1,6.871e+06,700.596,0,-0.792236,7615.18,0
0.092,0.00092956,0.00062088,0.0304775,2.13873e-05,1.4266e-05,0.000465885,1,6.871e+06,708.212,0,-0.800847,7615.18,0
0.093,0.00093954,0.000627585,0.0311349,2.18522e-05,1.45763e-05,0.000481123,1,6.871e+06,715.827,0,-0.809458,7615.18,0
0.094,0.000949521,0.000634291,0.0317994,2.2322e-05,1.489e-05,0.000496691,1,6.871e+06,723.442,0,-0.81807,7615.18,0
0.095,0.0009595,0.000640999,0.0324709,2.27969e-05,1.5207e-05,0.000512591,1,6.871e+06,731.057,0,-0.826681,7615.18,0
0.096,0.000969479,0.000647708,0.0331494,2.32767e-05,1.55274e-05,0.000528826,1,6.871e+06,738.672,0,-0.835292,7615.18,0
0.097,0.000979457,0.000654418,0.0338349,2.37615e-05,1.58511e-05,0.000545401,1,6.871e+06,746.287,0,-0.843903,7615.18,0
